Peak Date,Peak Total Cash,Peak Close Price,Minima Date,Minima Total Cash,Minima Close Price
2023-01-04 13:15:00+05:30,100265.6897,1506.949951,2023-01-05 09:15:00+05:30,99782.24295,1492.300049
2023-01-05 10:15:00+05:30,99833.39053,1493.849976,2023-01-05 13:15:00+05:30,99077.68973,1470.949951
2023-01-05 15:15:00+05:30,99231.14053,1475.599976,2023-01-06 10:15:00+05:30,98607.43973,1456.699951
2023-01-06 11:15:00+05:30,98610.74295,1456.800049,2023-01-06 14:15:00+05:30,98336.84134,1448.5
2023-01-09 11:15:00+05:30,99650.24295,1488.300049,2023-01-09 12:15:00+05:30,99500.09134,1483.75
2023-01-09 13:15:00+05:30,99551.24295,1485.300049,2023-01-09 15:15:00+05:30,99132.09839,1484.400024
2023-01-10 09:15:00+05:30,99182.69678,1463,2023-01-10 10:15:00+05:30,99041.99841,1460.900024
2023-01-10 11:15:00+05:30,99256.39514,1464.099976,2023-01-10 12:15:00+05:30,99236.30005,1463.800049
2023-01-11 09:15:00+05:30,100807.4468,1487.25,2023-01-11 14:15:00+05:30,99655.05005,1470.050049
2023-01-11 15:15:00+05:30,99735.44678,1471.25,2023-01-12 09:15:00+05:30,99102.30005,1461.800049
2023-01-12 10:15:00+05:30,99851.04346,1463.5,2023-01-12 11:15:00+05:30,98742.64673,1468.800049
2023-01-12 13:15:00+05:30,99127.89673,1474.550049,2023-01-12 14:15:00+05:30,98052.64185,1480.599976
2023-01-12 15:15:00+05:30,98234.14185,1483.349976,2023-01-13 09:15:00+05:30,97689.64185,1475.099976
2023-01-16 10:15:00+05:30,101483.6951,1522.849976,2023-01-16 11:15:00+05:30,101127.2935,1517.449951
2023-01-16 12:15:00+05:30,101556.2935,1523.949951,2023-01-16 13:15:00+05:30,101361.5967,1521
2023-01-16 14:15:00+05:30,101698.1951,1526.099976,2023-01-16 15:15:00+05:30,101543.0967,1523.75
2023-01-17 09:15:00+05:30,102397.7935,1536.699951,2023-01-17 10:15:00+05:30,102212.9983,1533.900024
2023-01-17 11:15:00+05:30,102414.2935,1536.949951,2023-01-17 12:15:00+05:30,102282.2935,1534.949951
2023-01-17 14:15:00+05:30,102605.6951,1539.849976,2023-01-17 15:15:00+05:30,102536.3999,1538.800049
2023-01-18 11:15:00+05:30,103146.8999,1548.050049,2023-01-18 12:15:00+05:30,103090.7935,1547.199951
2023-01-18 13:15:00+05:30,103235.9983,1549.400024,2023-01-18 15:15:00+05:30,102929.0967,1544.75
2023-01-19 09:15:00+05:30,103472.2,1529.800049,2023-01-19 11:15:00+05:30,102948.8999,1545.050049
2023-01-19 12:15:00+05:30,102995.0967,1545.75,2023-01-20 09:15:00+05:30,102285.5967,1535
2023-01-20 10:15:00+05:30,102358.1951,1536.099976,2023-01-20 11:15:00+05:30,102120.5967,1532.5
2023-01-20 12:15:00+05:30,102189.8999,1533.550049,2023-01-20 14:15:00+05:30,101638.7935,1525.199951
2023-01-23 13:15:00+05:30,102623.6652,1551.5,2023-01-23 15:15:00+05:30,102541.1652,1549
2023-01-24 10:15:00+05:30,103275.5967,1562.5,2023-01-25 11:15:00+05:30,99123.39355,1546.449951
2023-01-25 13:15:00+05:30,99289.7998,1549.050049,2023-01-27 13:15:00+05:30,97024.19824,1513.650024
2023-01-27 14:15:00+05:30,97297.76947,1521.550049,2023-01-27 15:15:00+05:30,97203.36713,1518.599976
2023-01-30 11:15:00+05:30,97776.16791,1536.5,2023-01-30 12:15:00+05:30,97595.36713,1530.849976
2023-01-30 13:15:00+05:30,97886.56634,1539.949951,2023-01-31 09:15:00+05:30,97094.56634,1515.199951
2023-01-31 12:15:00+05:30,97331.39355,1522.449951,2023-01-31 13:15:00+05:30,97303.04663,1522
2023-02-01 12:15:00+05:30,100074.3635,1551.25,2023-02-01 13:15:00+05:30,99800.76194,1542.699951
2023-02-01 14:15:00+05:30,100149.8435,1552.900024,2023-02-01 15:15:00+05:30,99708.24194,1546
2023-02-02 10:15:00+05:30,100329.4435,1580.400024,2023-02-02 12:15:00+05:30,100049.0889,1575.949951
2023-02-02 14:15:00+05:30,100716.895,1586.550049,2023-02-02 15:15:00+05:30,100540.4919,1583.75
2023-02-03 09:15:00+05:30,100902.7419,1589.5,2023-02-03 10:15:00+05:30,100871.2419,1589
2023-02-03 12:15:00+05:30,101453.9919,1598.25,2023-02-03 13:15:00+05:30,101249.2419,1595
2023-02-06 09:15:00+05:30,101621.8435,1575.900024,2023-02-06 11:15:00+05:30,100994.6404,1566.099976
2023-02-06 13:15:00+05:30,101333.8435,1571.400024,2023-02-06 15:15:00+05:30,100924.2419,1565
2023-02-07 10:15:00+05:30,101378.6404,1572.099976,2023-02-07 12:15:00+05:30,100706.6404,1561.599976
2023-02-07 13:15:00+05:30,101049.0388,1566.949951,2023-02-07 14:15:00+05:30,100652.2419,1560.75
2023-02-08 11:15:00+05:30,103001.0388,1599.75,2023-02-08 14:15:00+05:30,102303.4373,1588.849976
2023-02-09 12:15:00+05:30,103013.8357,1599.949951,2023-02-09 13:15:00+05:30,102024.9904,1609.650024
2023-02-09 14:15:00+05:30,102588.8373,1618.599976,2023-02-10 09:15:00+05:30,101823.3857,1606.449951
2023-02-10 10:15:00+05:30,102330.5388,1614.5,2023-02-10 13:15:00+05:30,101911.5873,1607.849976
2023-02-10 14:15:00+05:30,102050.1919,1610.050049,2023-02-13 09:15:00+05:30,101241.0388,1572.25
2023-02-13 10:15:00+05:30,101509.8357,1576.449951,2023-02-13 14:15:00+05:30,100905.0388,1567
2023-02-14 10:15:00+05:30,102298.6053,1594.5,2023-02-14 11:15:00+05:30,102265.0037,1593.449951
2023-02-14 12:15:00+05:30,102290.6053,1594.25,2023-02-14 13:15:00+05:30,102173.8045,1590.599976
2023-02-14 14:15:00+05:30,102247.406,1592.900024,2023-02-15 09:15:00+05:30,102049.0037,1586.699951
2023-02-15 10:15:00+05:30,102165.8357,1588.900024,2023-02-15 11:15:00+05:30,101967.4373,1585.800049
2023-02-15 15:15:00+05:30,102687.4373,1597.050049,2023-02-16 09:15:00+05:30,101824.3311,1608.699951
2023-02-16 10:15:00+05:30,101849.5326,1609.099976,2023-02-16 11:15:00+05:30,101569.1857,1604.650024
2023-02-16 12:15:00+05:30,101931.4357,1610.400024,2023-02-16 14:15:00+05:30,101326.6372,1600.800049
2023-02-16 15:15:00+05:30,101336.0811,1600.949951,2023-02-17 09:15:00+05:30,100409.9841,1586.25
2023-02-17 12:15:00+05:30,100671.4357,1590.400024,2023-02-17 14:15:00+05:30,100135.9357,1581.900024
2023-02-20 10:15:00+05:30,100759.8703,1598.300049,2023-02-20 11:15:00+05:30,100700.9695,1596.400024
2023-02-20 12:15:00+05:30,100704.0688,1596.5,2023-02-20 13:15:00+05:30,100397.168,1586.599976
2023-02-20 14:15:00+05:30,100604.8703,1593.300049,2023-02-21 11:15:00+05:30,100411.1203,1587.050049
2023-02-21 11:15:00+05:30,100488.7341,1587.050049,2023-02-21 12:15:00+05:30,100472.9841,1586.800049
2023-02-21 13:15:00+05:30,100495.0326,1587.150024,2023-02-21 14:15:00+05:30,99915.42798,1577.949951
2023-02-21 15:15:00+05:30,100013.0811,1579.5,2023-02-22 09:15:00+05:30,99225.58105,1567
2023-02-22 10:15:00+05:30,99446.08105,1570.5,2023-02-22 13:15:00+05:30,98532.58105,1556
2023-02-22 14:15:00+05:30,99434.46359,1563.199951,2023-02-22 15:15:00+05:30,99391.06662,1561.800049
2023-02-23 09:15:00+05:30,99415.86435,1562.599976,2023-02-23 11:15:00+05:30,99274.81662,1558.050049
2023-02-23 12:15:00+05:30,99333.71359,1559.949951,2023-02-23 14:15:00+05:30,99026.81662,1550.050049
2023-02-24 09:15:00+05:30,99253.11435,1557.349976,2023-02-24 13:15:00+05:30,99003.56662,1549.300049
2023-02-24 14:15:00+05:30,99060.91586,1551.150024,2023-02-27 09:15:00+05:30,97655.06662,1505.800049
2023-02-27 11:15:00+05:30,97757.36435,1509.099976,2023-02-27 12:15:00+05:30,97638.0151,1505.25
2023-02-27 14:15:00+05:30,97802.31662,1510.550049,2023-02-28 10:15:00+05:30,97653.5151,1505.75
2023-02-28 11:15:00+05:30,97789.91586,1510.150024,2023-02-28 14:15:00+05:30,97107.91586,1488.150024
2023-02-28 15:15:00+05:30,97227.2651,1492,2023-03-01 09:15:00+05:30,97083.11435,1487.349976
2023-03-01 11:15:00+05:30,97366.7651,1496.5,2023-03-01 12:15:00+05:30,97320.2651,1495
2023-03-01 15:15:00+05:30,97366.7651,1496.5,2023-03-02 09:15:00+05:30,96646.0151,1473.25
2023-03-02 11:15:00+05:30,96774.66586,1477.400024,2023-03-02 15:15:00+05:30,96604.16586,1471.900024
2023-03-03 11:15:00+05:30,96880.06662,1480.800049,2023-03-03 12:15:00+05:30,96708.0151,1475.25
2023-03-03 13:15:00+05:30,96841.31662,1479.550049,2023-03-03 14:15:00+05:30,96822.71359,1478.949951
2023-03-06 10:15:00+05:30,97901.5151,1513.75,2023-03-09 09:15:00+05:30,86205.98389,1486.300049
2023-03-09 10:15:00+05:30,86368.37964,1489.099976,2023-03-09 13:15:00+05:30,85840.58105,1480
2023-03-09 14:15:00+05:30,85895.67822,1480.949951,2023-03-10 11:15:00+05:30,84973.48389,1465.050049
2023-03-10 13:15:00+05:30,85321.48389,1471.050049,2023-03-10 14:15:00+05:30,85260.58105,1470
2023-03-10 15:15:00+05:30,85350.48389,1471.550049,2023-03-13 10:15:00+05:30,83900.48389,1446.550049
2023-03-13 11:15:00+05:30,84065.78247,1449.400024,2023-03-13 13:15:00+05:30,83262.48389,1435.550049
2023-03-13 15:15:00+05:30,83459.67822,1438.949951,2023-03-14 09:15:00+05:30,82325.78247,1419.400024
2023-03-14 11:15:00+05:30,82618.67822,1424.449951,2023-03-14 13:15:00+05:30,81908.17822,1412.199951
2023-03-15 10:15:00+05:30,82721.78627,1425.349976,2023-03-15 14:15:00+05:30,82547.78627,1419.349976
2023-03-15 15:15:00+05:30,82566.63698,1420,2023-03-16 09:15:00+05:30,82212.83839,1407.800049
2023-03-16 10:15:00+05:30,82347.68556,1412.449951,2023-03-16 12:15:00+05:30,82150.48768,1405.650024
2023-03-16 13:15:00+05:30,82201.23768,1407.400024,2023-03-16 14:15:00+05:30,82102.63698,1404
2023-03-17 09:15:00+05:30,83117.63698,1439,2023-03-17 12:15:00+05:30,82865.33839,1430.300049
2023-03-17 13:15:00+05:30,82997.28627,1434.849976,2023-03-17 14:15:00+05:30,82627.53627,1422.099976
2023-03-17 15:15:00+05:30,83311.78247,1423.650024,2023-03-20 09:15:00+05:30,83053.9325,1395.150024
2023-03-20 10:15:00+05:30,83623.28394,1404.800049,2023-03-20 12:15:00+05:30,83186.6825,1397.400024
2023-03-20 15:15:00+05:30,83555.4325,1403.650024,2023-03-21 09:15:00+05:30,82980.1825,1393.900024
2023-03-21 10:15:00+05:30,83059.83105,1395.25,2023-03-21 11:15:00+05:30,82932.97961,1393.099976
2023-03-21 12:15:00+05:30,83045.08105,1395,2023-03-21 14:15:00+05:30,82794.33105,1390.75
2023-03-21 15:15:00+05:30,82897.58105,1392.5,2023-03-22 10:15:00+05:30,82649.78394,1388.300049
2023-03-22 11:15:00+05:30,82717.62817,1389.449951,2023-03-22 14:15:00+05:30,82364.68135,1389.900024
2023-03-22 15:15:00+05:30,82387.87923,1390.699951,2023-03-23 10:15:00+05:30,81968.83064,1376.25
2023-03-23 12:15:00+05:30,81992.03206,1377.050049,2023-03-23 13:15:00+05:30,81865.87923,1372.699951
2023-03-24 09:15:00+05:30,82487.93135,1394.150024,2023-03-24 10:15:00+05:30,82442.97993,1392.599976
2023-03-24 11:15:00+05:30,82453.12923,1392.949951,2023-03-24 15:15:00+05:30,82034.08064,1378.5
2023-03-27 09:15:00+05:30,82353.08064,1389.5,2023-03-27 12:15:00+05:30,80803.87964,1391.599976
2023-03-27 13:15:00+05:30,80827.08105,1392,2023-03-27 14:15:00+05:30,80629.87964,1388.599976
2023-03-27 15:15:00+05:30,80650.17822,1388.949951,2023-03-28 11:15:00+05:30,80160.08105,1380.5
2023-03-28 12:15:00+05:30,80363.08105,1384,2023-03-28 13:15:00+05:30,80026.67822,1378.199951
2023-03-28 13:15:00+05:30,80363.08105,1378.199951,2023-03-28 14:15:00+05:30,80351.48389,1378
2023-03-28 15:15:00+05:30,80386.28247,1378.599976,2023-03-29 11:15:00+05:30,79713.48389,1367.599976
2023-03-31 09:15:00+05:30,80995.00334,1404.400024,2023-03-31 10:15:00+05:30,80941.35405,1402.550049
2023-04-03 12:15:00+05:30,87273.78516,1408.949951,2023-04-03 13:15:00+05:30,87209.73962,1407.900024
2023-04-05 12:15:00+05:30,89560.03662,1423.099976,2023-04-05 13:15:00+05:30,89541.44116,1422.800049
2023-04-06 10:15:00+05:30,89829.73511,1427.449951,2023-04-06 10:15:00+05:30,89646.83813,1427.449951
2023-04-06 12:15:00+05:30,90724.6427,1421.900024,2023-04-06 13:15:00+05:30,90532.48962,1418.849976
2023-04-10 09:15:00+05:30,91367.23962,1432.099976,2023-04-10 10:15:00+05:30,91234.94116,1430
2023-04-10 11:15:00+05:30,91423.94116,1433,2023-04-10 12:15:00+05:30,91247.53809,1430.199951
2023-04-10 14:15:00+05:30,92533.73804,1427.949951,2023-04-10 15:15:00+05:30,92472.94116,1427
2023-04-11 14:15:00+05:30,95467.54443,1407.800049,2023-04-11 15:15:00+05:30,95132.54443,1402.800049
2023-04-12 14:15:00+05:30,95859.19407,1429.25,2023-04-13 11:15:00+05:30,94380.79245,1384.449951
2023-04-13 14:15:00+05:30,94979.19287,1391.900024,2023-04-17 09:15:00+05:30,84102.58789,1231.949951
2023-04-17 15:15:00+05:30,85888.91291,1259.5,2023-04-18 09:15:00+05:30,85775.01374,1256.150024
2023-04-18 13:15:00+05:30,85956.91291,1261.5,2023-04-19 10:15:00+05:30,85227.61457,1240.050049
2023-04-19 11:15:00+05:30,85259.91291,1241,2023-04-20 09:15:00+05:30,83653.79785,1226.300049
2023-04-20 10:15:00+05:30,83803.39453,1228.5,2023-04-20 12:15:00+05:30,83592.59619,1225.400024
2023-04-20 13:15:00+05:30,83731.99121,1227.449951,2023-04-20 15:15:00+05:30,83463.39453,1223.5
2023-04-21 09:15:00+05:30,83725.19287,1227.349976,2023-04-21 12:15:00+05:30,83283.19287,1220.849976
2023-04-21 14:15:00+05:30,83796.59619,1228.400024,2023-04-24 09:15:00+05:30,83249.19287,1220.349976
2023-04-24 10:15:00+05:30,83539.03428,1225.050049,2023-04-24 11:15:00+05:30,83467.63096,1222.949951
2023-04-24 12:15:00+05:30,83498.23179,1223.849976,2023-04-24 13:15:00+05:30,83465.93345,1222.900024
2023-04-24 15:15:00+05:30,83668.23179,1228.849976,2023-04-25 09:15:00+05:30,83516.93345,1224.400024
2023-04-25 10:15:00+05:30,83756.63096,1231.449951,2023-04-25 14:15:00+05:30,83095.80273,1225.050049
2023-04-26 10:15:00+05:30,83296.80273,1228.050049,2023-04-26 11:15:00+05:30,83186.2511,1226.400024
2023-04-26 13:15:00+05:30,83270.0011,1227.650024,2023-04-26 14:15:00+05:30,83239.84619,1227.199951
2023-04-27 09:15:00+05:30,83427.44946,1230,2023-04-27 10:15:00+05:30,83404.0011,1229.650024
2023-04-27 11:15:00+05:30,83499.91983,1238,2023-04-27 11:15:00+05:30,83404.0011,1238
2023-04-27 14:15:00+05:30,84040.5011,1247.5,2023-04-27 15:15:00+05:30,83943.35437,1246.050049
2023-04-28 11:15:00+05:30,84352.05273,1252.150024,2023-04-28 13:15:00+05:30,84254.89783,1250.699951
2023-04-28 14:15:00+05:30,84409.0011,1253,2023-04-28 15:15:00+05:30,84402.30273,1252.900024
2023-05-02 12:15:00+05:30,84763.09949,1277.349976,2023-05-02 14:15:00+05:30,84707.0011,1276.5
2023-05-02 15:15:00+05:30,84819.19788,1278.199951,2023-05-03 12:15:00+05:30,84014.0011,1266
2023-05-03 14:15:00+05:30,84284.59949,1270.099976,2023-05-04 09:15:00+05:30,84037.09949,1266.349976
2023-05-04 12:15:00+05:30,84542.0011,1274,2023-05-04 13:15:00+05:30,84443.0011,1272.5
2023-05-04 14:15:00+05:30,84538.69788,1273.949951,2023-05-05 11:15:00+05:30,83426.59949,1257.099976
2023-05-05 12:15:00+05:30,84383.59949,1263.5,2023-05-05 14:15:00+05:30,84152.59949,1260
2023-05-08 11:15:00+05:30,84627.79626,1267.199951,2023-05-08 12:15:00+05:30,84594.79626,1266.699951
2023-05-08 13:15:00+05:30,84756.5011,1269.150024,2023-05-08 14:15:00+05:30,84485.90271,1265.050049
2023-05-09 11:15:00+05:30,84888.5011,1271.150024,2023-05-09 13:15:00+05:30,84561.79626,1267.349976
2023-05-10 10:15:00+05:30,85685.0946,1265.199951,2023-05-10 11:15:00+05:30,85534.3446,1262.949951
2023-05-10 12:15:00+05:30,85651.5946,1264.699951,2023-05-10 13:15:00+05:30,85497.49951,1262.400024
2023-05-11 09:15:00+05:30,85835.8446,1267.449951,2023-05-11 14:15:00+05:30,84981.5946,1254.699951
2023-05-11 15:15:00+05:30,85149.0946,1257.199951,2023-05-12 09:15:00+05:30,84405.39624,1246.099976
2023-05-12 10:15:00+05:30,84676.74951,1250.150024,2023-05-12 12:15:00+05:30,84596.3446,1248.949951
2023-05-12 13:15:00+05:30,84629.8446,1249.449951,2023-05-12 14:15:00+05:30,84348.44788,1245.25
2023-05-15 09:15:00+05:30,85109.03051,1261.099976,2023-05-15 10:15:00+05:30,85072.73132,1260
2023-05-15 13:15:00+05:30,85303.73132,1267,2023-05-15 14:15:00+05:30,84973.73132,1257
2023-05-16 09:15:00+05:30,85889.44788,1269.599976,2023-05-16 11:15:00+05:30,85815.74951,1268.5
2023-05-16 12:15:00+05:30,85906.19788,1269.849976,2023-05-16 15:15:00+05:30,85457.30115,1263.150024
2023-05-17 09:15:00+05:30,86203.65283,1255.550049,2023-05-17 10:15:00+05:30,85836.45117,1250.150024
2023-05-17 11:15:00+05:30,86648.45288,1243.800049,2023-05-17 12:15:00+05:30,86582.89783,1242.849976
2023-05-18 11:15:00+05:30,87600.64783,1257.599976,2023-05-18 14:15:00+05:30,86958.95288,1248.300049
2023-05-19 09:15:00+05:30,87245.71932,1268.599976,2023-05-19 10:15:00+05:30,87177.71932,1266.599976
2023-05-19 11:15:00+05:30,88621.8512,1270.400024,2023-05-19 12:15:00+05:30,88549.39783,1269.349976
2023-05-19 13:15:00+05:30,88597.70288,1270.050049,2023-05-19 14:15:00+05:30,88514.89783,1268.849976
2023-05-19 15:15:00+05:30,88542.49951,1269.25,2023-05-22 09:15:00+05:30,88364.65283,1285.300049
2023-05-22 11:15:00+05:30,88748.84619,1290.949951,2023-05-22 12:15:00+05:30,88541.45117,1287.900024
2023-05-22 14:15:00+05:30,88895.04785,1293.099976,2023-05-22 15:15:00+05:30,88786.24951,1291.5
2023-05-23 09:15:00+05:30,88791.19788,1310.849976,2023-05-23 10:15:00+05:30,88727.55115,1309.900024
2023-05-23 11:15:00+05:30,88767.74951,1310.5,2023-05-23 13:15:00+05:30,88452.85278,1305.800049
2023-05-23 15:15:00+05:30,89364.24951,1300,2023-05-24 09:15:00+05:30,89238.45117,1298.150024
2023-05-24 11:15:00+05:30,89524.04785,1302.349976,2023-05-24 14:15:00+05:30,89292.84619,1298.949951
2023-05-25 09:15:00+05:30,90250.24951,1294,2023-05-25 10:15:00+05:30,90239.89783,1293.849976
2023-05-25 12:15:00+05:30,90508.99951,1297.75,2023-05-25 14:15:00+05:30,89706.68469,1304.25
2023-05-26 11:15:00+05:30,91761.3512,1320.300049,2023-05-26 12:15:00+05:30,91650.94446,1318.699951
2023-05-26 13:15:00+05:30,91654.39783,1318.75,2023-05-26 15:15:00+05:30,91395.64783,1315
2023-05-29 09:15:00+05:30,91561.24951,1317.400024,2023-05-29 12:15:00+05:30,91257.64783,1313
2023-05-29 13:15:00+05:30,91357.69446,1314.449951,2023-05-29 14:15:00+05:30,91350.79614,1314.349976
2023-05-30 09:15:00+05:30,91695.79614,1319.349976,2023-05-30 10:15:00+05:30,91254.19446,1312.949951
2023-05-30 11:15:00+05:30,91720.24953,1317.849976,2023-05-30 12:15:00+05:30,91647.1487,1315.699951
2023-05-31 09:15:00+05:30,92114.6487,1329.449951,2023-05-31 10:15:00+05:30,91640.6012,1325.300049
2023-05-31 12:15:00+05:30,91882.1012,1328.800049,2023-05-31 14:15:00+05:30,90891.94446,1314.449951
2023-05-31 15:15:00+05:30,91071.3512,1317.050049,2023-06-01 13:15:00+05:30,89900.49451,1319.199951
2023-06-01 15:15:00+05:30,89988.89783,1320.5,2023-06-02 09:15:00+05:30,88802.30115,1303.050049
2023-06-02 10:15:00+05:30,88900.89783,1304.5,2023-06-02 14:15:00+05:30,88537.09949,1299.150024
2023-06-05 11:15:00+05:30,89203.49451,1308.949951,2023-06-06 10:15:00+05:30,86905.09949,1275.150024
2023-06-06 12:15:00+05:30,87078.49451,1277.699951,2023-06-06 13:15:00+05:30,86905.09949,1275.150024
2023-06-07 09:15:00+05:30,87380.59119,1287.849976,2023-06-07 10:15:00+05:30,87287.09119,1285.099976
2023-06-07 13:15:00+05:30,87525.09119,1292.099976,2023-06-07 14:15:00+05:30,87400.99036,1288.449951
2023-06-08 09:15:00+05:30,87421.39368,1289.050049,2023-06-08 10:15:00+05:30,87358.49036,1287.199951
2023-06-08 11:15:00+05:30,87938.70447,1288.5,2023-06-08 14:15:00+05:30,87483.10779,1281.800049
2023-06-09 09:15:00+05:30,87902.40784,1269.300049,2023-06-09 10:15:00+05:30,87643.65784,1265.550049
2023-06-09 12:15:00+05:30,87802.35278,1267.849976,2023-06-09 13:15:00+05:30,87605.70447,1265
2023-06-12 11:15:00+05:30,89150.51483,1292.050049,2023-06-12 12:15:00+05:30,89135.21234,1291.599976
2023-06-12 13:15:00+05:30,89242.31317,1294.75,2023-06-12 14:15:00+05:30,89157.31317,1292.25
2023-06-12 15:15:00+05:30,89485.95447,1292.949951,2023-06-13 10:15:00+05:30,88767.6095,1301.400024
2023-06-13 12:15:00+05:30,89080.40784,1306,2023-06-13 13:15:00+05:30,88873.00452,1302.949951
2023-06-13 14:15:00+05:30,89012.40784,1305,2023-06-14 09:15:00+05:30,88349.40784,1295.25
2023-06-14 10:15:00+05:30,88471.81116,1297.050049,2023-06-14 11:15:00+05:30,88403.81116,1296.050049
2023-06-14 15:15:00+05:30,88808.40784,1302,2023-06-15 11:15:00+05:30,87727.20618,1286.099976
2023-06-15 12:15:00+05:30,88019.6095,1290.400024,2023-06-15 15:15:00+05:30,87720.40784,1286
2023-06-16 09:15:00+05:30,87774.81116,1286.800049,2023-06-16 10:15:00+05:30,87536.81116,1283.300049
2023-06-16 13:15:00+05:30,87855.06654,1291.349976,2023-06-16 14:15:00+05:30,87781.96571,1289.199951
2023-06-19 09:15:00+05:30,87877.16737,1292,2023-06-19 10:15:00+05:30,87792.16737,1289.5
2023-06-21 14:15:00+05:30,98668.4115,1298.550049,2023-06-21 15:15:00+05:30,98664.65784,1298.5
2023-06-22 10:15:00+05:30,99956.5116,1281.550049,2023-06-22 11:15:00+05:30,99952.65784,1281.5
2023-06-22 12:15:00+05:30,100195.2097,1284.650024,2023-06-22 14:15:00+05:30,99894.90784,1280.75
2023-06-22 15:15:00+05:30,100106.6578,1283.5,2023-06-23 09:15:00+05:30,98947.80408,1268.449951
2023-06-23 12:15:00+05:30,99452.15784,1275,2023-06-23 14:15:00+05:30,98682.15784,1265
2023-06-26 12:15:00+05:30,99117.20972,1270.650024,2023-06-26 13:15:00+05:30,99063.30408,1269.949951
2023-06-26 14:15:00+05:30,99151.85596,1271.099976,2023-06-26 15:15:00+05:30,99094.10596,1270.349976
2023-06-27 09:15:00+05:30,99343.22315,1277.949951,2023-06-27 10:15:00+05:30,99261.52686,1275.800049
2023-06-27 11:15:00+05:30,99392.62501,1279.25,2023-06-27 12:15:00+05:30,99328.02686,1277.550049
2023-06-27 12:15:00+05:30,99779.40784,1277.550049,2023-06-30 09:15:00+05:30,98291.50403,1326.5
2023-06-30 10:15:00+05:30,98369.20764,1327.550049,2023-07-03 10:15:00+05:30,94624.40576,1330.900024
2023-07-03 12:15:00+05:30,94766.40576,1332.900024,2023-07-03 13:15:00+05:30,94752.20056,1332.699951
2023-07-03 14:15:00+05:30,94844.50403,1334,2023-07-03 15:15:00+05:30,94823.20056,1333.699951
2023-07-04 09:15:00+05:30,94865.8075,1334.300049,2023-07-04 10:15:00+05:30,94777.0575,1333.050049
2023-07-04 11:15:00+05:30,94826.75403,1333.75,2023-07-04 12:15:00+05:30,93699.50061,1336.699951
2023-07-04 13:15:00+05:30,93804.50061,1338.199951,2023-07-04 15:15:00+05:30,92811.30066,1343.199951
2023-07-05 09:15:00+05:30,92914.80066,1344.699951,2023-07-05 10:15:00+05:30,91753.70569,1347.400024
2023-07-05 11:15:00+05:30,91777.50403,1347.75,2023-07-07 11:15:00+05:30,86395.25562,1327.150024
2023-07-07 13:15:00+05:30,86778.7572,1333.050049,2023-07-07 14:15:00+05:30,86496.00085,1328.699951
2023-07-07 15:15:00+05:30,86515.50403,1329,2023-07-10 09:15:00+05:30,86177.5072,1323.800049
2023-07-10 12:15:00+05:30,86731.38883,1338.099976,2023-07-10 14:15:00+05:30,86417.79118,1328.300049
2023-07-11 09:15:00+05:30,86952.18962,1345,2023-07-11 10:15:00+05:30,86934.58805,1344.449951
2023-07-11 11:15:00+05:30,87519.75085,1345.550049,2023-07-11 12:15:00+05:30,86302.20081,1347.550049
2023-07-11 13:15:00+05:30,86314.99768,1347.75,2023-07-13 12:15:00+05:30,75246.75037,1367.050049
2023-07-13 12:15:00+05:30,75708.745,1367.050049,2023-07-13 13:15:00+05:30,75551.98962,1364.199951
2023-07-13 15:15:00+05:30,75705.99231,1367,2023-07-14 09:15:00+05:30,75526.99231,1389
